"Nome","Cidade","Estado","Plano","Status","Data Cadastro","Link"
"Conexo | Segurança e Medicina do Trabalho - Vila Velha","Vila Velha","ES","free","aprovado","01/06/2026","https://guialocalbr.com.br/empresa/conexo-seguranca-e-medicina-do-trabalho-vila-velha"
"Almeida Entregas - Petrópolis","Petrópolis","RJ","free","aprovado","01/06/2026","https://guialocalbr.com.br/empresa/almeida-entregas-petropolis"
"Leila Cristiane Studio de Micropigmentação","maringa","PR","premium","aprovado","01/06/2026","https://guialocalbr.com.br/empresa/leila-cristiane-studio-de-micropigmentacao"
"Facini Coffe Beer Conveniência","Paiçandu","PR","premium","aprovado","01/06/2026","https://guialocalbr.com.br/empresa/facini-coffe-beer-conveniencia"
"Evolution Car - Guincho 24h e Centro Automotivo","Sarandi","PR","premium","aprovado","29/05/2026","https://guialocalbr.com.br/empresa/evolution-car-guincho-24h-e-centro-automotivo"
"Zacanini Bebidas","Paiçandu","PR","premium","aprovado","28/05/2026","https://guialocalbr.com.br/empresa/zacanini-bebidas"
"Supermercado Iguaçu","Maringá","PR","premium","aprovado","28/05/2026","https://guialocalbr.com.br/empresa/supermercado-iguacu"
"Mercado e Hortifruti Molina","Maringá","PR","premium","aprovado","26/05/2026","https://guialocalbr.com.br/empresa/mercado-e-hortifruti-molina"
"Casa de Carnes Itaipu","Maringá","PR","premium","aprovado","26/05/2026","https://guialocalbr.com.br/empresa/casa-de-carnes-itaipu"
"MR Clínica de Estética Avançada ","Curitiba","PR","free","aprovado","24/05/2026","https://guialocalbr.com.br/empresa/mr-clinica-de-estetica-avancada"
"di Domenico Casa","Maringá","PR","premium","aprovado","19/05/2026","https://guialocalbr.com.br/empresa/di-domenico-casa"
"Maringa Gás","Maringá","PR","premium","aprovado","17/05/2026","https://guialocalbr.com.br/empresa/maringa-gas"
"Rachid Odontologia Especializada - Dentista em Maringá","Maringá","PR","premium","aprovado","17/05/2026","https://guialocalbr.com.br/empresa/rachid-odontologia-especializada-dentista-em-maringa"
"Viva Gás Maringá","Maringá","PR","premium","aprovado","14/05/2026","https://guialocalbr.com.br/empresa/viva-gas-maringa"
"Sirleia Souza - Beleza e Estética","Ilhéus","BA","premium","aprovado","08/05/2026","https://guialocalbr.com.br/empresa/sirleia-souza-beleza-e-estetica"
"Studio Izidoro Norbiato","paiçandu","PR","premium","aprovado","29/04/2026","https://guialocalbr.com.br/empresa/studio-izidoro-norbiato"
"Renova Car - estética automotiva","paiçandu","PR","premium","aprovado","29/04/2026","https://guialocalbr.com.br/empresa/renova-car-estetica-automotiva"
"Rede Guanabara Gás","paiçandu","PR","premium","aprovado","29/04/2026","https://guialocalbr.com.br/empresa/rede-guanabara-gas"
"Pioneiro Pneus Borracharia | Paiçandu","paiçandu","PR","premium","aprovado","29/04/2026","https://guialocalbr.com.br/empresa/pioneiro-pneus-borracharia-paicandu"
"Mercado 2 Irmãos","paiçandu","PR","premium","aprovado","29/04/2026","https://guialocalbr.com.br/empresa/mercado-2-irmaos"
"LOT PREMIUM SHOP","paiçandu","PR","premium","aprovado","29/04/2026","https://guialocalbr.com.br/empresa/lot-premium-shop"
"Fuskão Lanches","paiçandu","PR","premium","aprovado","29/04/2026","https://guialocalbr.com.br/empresa/fuskao-lanches"
"Disk Chopp Deley","paiçandu","PR","premium","aprovado","29/04/2026","https://guialocalbr.com.br/empresa/disk-chopp-deley"
"Credcasa","vilhena","RO","premium","aprovado","29/04/2026","https://guialocalbr.com.br/empresa/credcasa"
"Chef Vinicius Pires","maringá","PR","premium","aprovado","29/04/2026","https://guialocalbr.com.br/empresa/chef-vinicius-pires"
"Alkazar Disk Pizza","paiçandu","PR","premium","aprovado","29/04/2026","https://guialocalbr.com.br/empresa/alkazar-disk-pizza"
"RGG Conveniência Paiçandu","paiçandu","PR","premium","aprovado","29/04/2026","https://guialocalbr.com.br/empresa/rgg-conveniencia-paicandu"
"Marquesone Tintas","paiçandu","PR","premium","aprovado","29/04/2026","https://guialocalbr.com.br/empresa/marquesone-tintas"
"Depósito Marquesone","paiçandu","PR","premium","aprovado","29/04/2026","https://guialocalbr.com.br/empresa/deposito-marquesone"
"Restaurante da Déia ","Pouso Alegre","MG","premium","aprovado","31/03/2026","https://guialocalbr.com.br/empresa/restaurante-da-deia"
