id;usuario_id;nome;endereco;cidade;estado;telefone;whatsapp;foto_principal;fotos_adicionais;videos;site;nicho;horario;descricao;plano;status;destaque_banner;destaque_rotacao;data_cadastro;updated_at;redes_sociais;slug;link_type;schema_type;meta_description;data_expiracao_destaque;bairros;cep;imported_at;imported_by;faq;tenant_id
"07afa1b2-5897-49ce-94f8-e9cd3bd97490";"e7515355-ce58-48bf-8e7f-a09783c352c0";"MR Clínica de Estética Avançada ";"Rua Dr. Pedro Darcy de Souza, 165 - Sítio Cercado";"Curitiba";"PR";"(41) 98878-3667";"(41) 98878-3667";"https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/e7515355-ce58-48bf-8e7f-a09783c352c0/1779639340368.jpg";"";"";"";"Beleza e Estética";"{""segunda"":{""ativo"":true,""abertura"":""10:00"",""fechamento"":""18:30"",""is24h"":false},""terca"":{""ativo"":true,""abertura"":""10:00"",""fechamento"":""18:30"",""is24h"":false},""quarta"":{""ativo"":true,""abertura"":""10:00"",""fechamento"":""18:30"",""is24h"":false},""quinta"":{""ativo"":true,""abertura"":""10:00"",""fechamento"":""18:30"",""is24h"":false},""sexta"":{""ativo"":true,""abertura"":""10:00"",""fechamento"":""18:30"",""is24h"":false},""sabado"":{""ativo"":true,""abertura"":""10:00"",""fechamento"":""18:30"",""is24h"":false},""domingo"":{""ativo"":false,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":false}}";"";"free";"aprovado";"false";"true";"2026-05-24T16:15:42.627664+00:00";"2026-05-25T09:50:30.024891+00:00";"";"mr-clinica-de-estetica-avancada";"nofollow";"LocalBusiness";"";"";"";"";"";"";"";""
"42829475-22e8-4791-ad3d-98fffcbdfb1a";"1a243d24-896a-4ec3-8398-c6a0396e09fc";"Evolution Car - Guincho 24h e Centro Automotivo";"Av. João Marangoni, 234 - Novo Panorama,";"Sarandi";"PR";" (44) 99978-4383";" (44) 99978-4383";"https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/1a243d24-896a-4ec3-8398-c6a0396e09fc/1780090124249.webp";"https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/1a243d24-896a-4ec3-8398-c6a0396e09fc/1780090125291.webp,https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/1a243d24-896a-4ec3-8398-c6a0396e09fc/1780090125292.webp,https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/1a243d24-896a-4ec3-8398-c6a0396e09fc/1780090125292.webp,https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/1a243d24-896a-4ec3-8398-c6a0396e09fc/1780090125292.jpg,https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/1a243d24-896a-4ec3-8398-c6a0396e09fc/1780090125292.jpg";"";"https://sites.google.com/view/evolutioncarsarandi";"Guincho";"{""segunda"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":true},""terca"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":true},""quarta"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":true},""quinta"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":true},""sexta"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":true},""sabado"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":true},""domingo"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":true}}";"A Evolution Car - Guincho 24h e Centro Automotivo, localizada em Sarandi, PR, na Av. João Marangoni, 234 - Novo Panorama, é a solução ideal para quem precisa de serviços automotivos de qualidade e assistência emergencial. Com um guincho disponível 24 horas por dia, garantimos atendimento rápido e eficiente em situações de emergência, proporcionando segurança e tranquilidade para você e seu veículo.  Nosso centro automotivo oferece uma gama completa de serviços, incluindo manutenção preventiva, reparos mecânicos, troca de óleo, alinhamento e balanceamento, tudo realizado por profissionais qualificados e experientes. Ao escolher a Evolution Car, você conta com um atendimento personalizado, agilidade nos serviços e preços competitivos, além de um compromisso com a satisfação do cliente.  Estamos localizados em Sarandi, facilitando o acesso para moradores da região e arredores. Venha conhecer a Evolution Car e descubra como podemos cuidar do seu veículo com excelência. Confie em quem entende do assunto e faça sua escolha pela qualidade e confiança.";"premium";"aprovado";"false";"false";"2026-05-29T21:28:46.536843+00:00";"2026-05-29T21:28:46.536843+00:00";"[object Object]";"evolution-car-guincho-24h-e-centro-automotivo";"dofollow";"LocalBusiness";"";"";"";"";"";"";"";""
"ff72a52f-5d2e-43f7-a296-0608bc23bd96";"";"Mineirinho Pet";" R. José Munhoz Gago, 74 - Jardim Boa Esperanca";"Alfenas";"MG";"(35) 99755-6005";"(35) 99755-6005";"https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/admin/1772047919433-0gghah.png";"";"";"";"Pet Shop";"";"";"free";"aprovado";"false";"true";"2026-02-25T19:32:13.130879+00:00";"2026-05-22T13:27:08.170679+00:00";"";"mineirinho-pet";"nofollow";"LocalBusiness";"";"";"";"";"";"";"";""
"7a9f578d-20a0-4f6f-bdd8-84d71810aaa9";"";"Digisat Antenas";"R. Bom Jesus, 439 - Centro";"Pouso Alegre";"MG";"(35) 99932-6488";"(35) 99932-6488";"https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/admin/1772047998207-5zf17at.png";"";"";"";"Telecomunicações";"";"";"free";"aprovado";"false";"true";"2026-02-25T19:33:31.606804+00:00";"2026-05-22T13:27:08.170679+00:00";"";"digisat-antenas";"nofollow";"LocalBusiness";"";"";"";"";"";"";"";""
"40c23246-b6e3-4afd-bbb7-2c75f366552a";"1a243d24-896a-4ec3-8398-c6a0396e09fc";"Casa de Carnes Itaipu";"Av. Pioneiro Maurício Mariani, 590 - Jardim Itaipu";"Maringá";"PR";" (44) 3040-4660";"5544998341500";"https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/1a243d24-896a-4ec3-8398-c6a0396e09fc/1779839527492.png";"https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/1a243d24-896a-4ec3-8398-c6a0396e09fc/1779839528858.jpg,https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/1a243d24-896a-4ec3-8398-c6a0396e09fc/1779839528858.jpg,https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/1a243d24-896a-4ec3-8398-c6a0396e09fc/1779839528858.jpg,https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/1a243d24-896a-4ec3-8398-c6a0396e09fc/1779839528858.jpg";"";"";"";"{""segunda"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""20:00"",""is24h"":false},""terca"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""20:00"",""is24h"":false},""quarta"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""20:00"",""is24h"":false},""quinta"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""20:00"",""is24h"":false},""sexta"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""20:00"",""is24h"":false},""sabado"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""20:00"",""is24h"":false},""domingo"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""13:00"",""is24h"":false}}";"A Casa de Carnes Itaipu é referência em carnes frescas e cortes selecionados em Maringá/PR. Localizada na Av. Pioneiro Maurício Mariani, 590, no Parque Itaipu, oferece carnes bovinas, suínas, frango, cortes para churrasco, costela assada, kits para almoço de domingo, espetinhos e muito mais. Trabalhamos com qualidade, atendimento diferenciado e ofertas especiais toda semana. Se você procura açougue em Maringá com carne de qualidade, preço justo e tradição, venha para a Casa de Carnes Itaipu. Atendimento presencial e pedidos pelo WhatsApp para toda a região do Parque Itaipu e bairros próximos em Maringá.";"premium";"aprovado";"false";"false";"2026-05-26T23:52:11.151771+00:00";"2026-05-26T23:52:11.151771+00:00";"";"casa-de-carnes-itaipu";"dofollow";"LocalBusiness";"";"";"";"";"";"";"";""
"c14f5775-9d0c-428b-97b7-b84ae85a3af0";"4d392eed-a1a9-457f-a709-bb1c8fc255ba";"LOT PREMIUM SHOP";"R. Mayara Canova ";"paiçandu";"PR";"(44) 98853-4737";"(44) 98853-4737";"https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/4d392eed-a1a9-457f-a709-bb1c8fc255ba/1777473785935.png";"https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/4d392eed-a1a9-457f-a709-bb1c8fc255ba/1777473786547.jpg,https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/4d392eed-a1a9-457f-a709-bb1c8fc255ba/1777473786547.jpg";"";"";"Perfumaria";"{""segunda"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":false},""terca"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":false},""quarta"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":false},""quinta"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":false},""sexta"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":false},""sabado"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":false},""domingo"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":false}}";"LOT Premium Shop é referência em perfumes importados e perfumes árabes em Paiçandu e região. Trabalhamos com fragrâncias originais das melhores marcas do mundo, oferecendo excelente custo-benefício, exclusividade e entrega rápida.  Atendemos Paiçandu, Maringá, Floresta e cidades vizinhas com vendas online e envio via Correios ou motoboy.  Além de perfumes importados masculinos e femininos, também trabalhamos com eletrônicos selecionados, como microfones sem fio, iluminação para criadores de conteúdo e produtos para influencers.  Nosso foco é proporcionar uma experiência premium, com atendimento personalizado, confiança e agilidade.  Se você procura perfume importado em Paiçandu ou Maringá, fale com a LOT Premium Shop.";"premium";"aprovado";"false";"true";"2026-04-29T14:43:07.583146+00:00";"2026-05-20T00:16:57.918508+00:00";"[object Object]";"lot-premium-shop";"dofollow";"LocalBusiness";"";"";"";"";"";"";"";""
"b2feda79-bb1c-4085-bd6b-f716115437db";"1a243d24-896a-4ec3-8398-c6a0396e09fc";"Facini Coffe Beer Conveniência";"Av. Curitiba, 48a - Centro";"Paiçandu";"PR";" (44) 99964-8226";" (44) 99964-8226";"https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/1a243d24-896a-4ec3-8398-c6a0396e09fc/1780348878323.jpg";"https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/1a243d24-896a-4ec3-8398-c6a0396e09fc/1780348879610.jpg,https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/1a243d24-896a-4ec3-8398-c6a0396e09fc/1780348879610.webp,https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/1a243d24-896a-4ec3-8398-c6a0396e09fc/1780348879610.webp";"";"";"Restaurante";"{""segunda"":{""ativo"":false,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":false},""terca"":{""ativo"":true,""abertura"":""17:00"",""fechamento"":""23:00"",""is24h"":false},""quarta"":{""ativo"":true,""abertura"":""17:00"",""fechamento"":""23:00"",""is24h"":false},""quinta"":{""ativo"":true,""abertura"":""17:00"",""fechamento"":""23:00"",""is24h"":false},""sexta"":{""ativo"":true,""abertura"":""17:00"",""fechamento"":""23:00"",""is24h"":false},""sabado"":{""ativo"":true,""abertura"":""17:00"",""fechamento"":""23:00"",""is24h"":false},""domingo"":{""ativo"":false,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":false}}";"Descubra o Facini Coffee Beer Conveniência, o seu restaurante de referência em Paiçandu, PR. Localizado na Av. Curitiba, 48a, no coração do Centro, oferecemos uma experiência gastronômica única que combina o melhor do café e da cerveja artesanal. Nosso cardápio diversificado atende a todos os paladares, com opções irresistíveis para o seu café da manhã, almoço ou lanche da tarde.  No Facini, priorizamos a qualidade e o frescor dos ingredientes, proporcionando pratos saborosos e bebidas de excelência. Venha desfrutar de um ambiente acolhedor e descontraído, ideal para encontros com amigos ou para uma pausa revigorante no seu dia.   Além disso, nossa localização privilegiada facilita o acesso, tornando-nos a escolha perfeita para quem busca conveniência e qualidade na alimentação. Seja para uma refeição rápida ou para relaxar com uma cerveja artesanal, o Facini Coffee Beer é o lugar certo para você. Visite-nos e descubra porque somos a melhor opção em Paiçandu para amantes de boa comida e bebidas. Estamos te esperando!";"premium";"aprovado";"false";"false";"2026-06-01T21:21:21.48712+00:00";"2026-06-01T21:21:21.48712+00:00";"[object Object]";"facini-coffe-beer-conveniencia";"dofollow";"LocalBusiness";"";"";"";"";"";"";"";""
"ba75d97f-5d2c-4b8b-a199-82a7401b90dc";"1a243d24-896a-4ec3-8398-c6a0396e09fc";"di Domenico Casa";"Av. Carlos Correa Borges, 1054";"Maringá";"PR";" (44) 99928-1973";" (44) 99928-1973";"https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/1a243d24-896a-4ec3-8398-c6a0396e09fc/1779234734253.jpg";"https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/1a243d24-896a-4ec3-8398-c6a0396e09fc/1779234734836.jpg,https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/1a243d24-896a-4ec3-8398-c6a0396e09fc/1779234734836.jpg,https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/1a243d24-896a-4ec3-8398-c6a0396e09fc/1779234734836.jpg";"";"";"Casa e Decoração";"{""segunda"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":false},""terca"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":false},""quarta"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":false},""quinta"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":false},""sexta"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":false},""sabado"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":false},""domingo"":{""ativo"":false,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":false}}";"Hoje apresentamos a vocês o novo nome da nossa loja: di Domenico Casa. Mudamos para estar ainda mais perto do que realmente importa: o lar, o cuidado, os detalhes que transformam ambientes e acolhem histórias.  Nossa paleta também ganhou vida nova — cores que refletem aconchego, naturalidade e propósito. 🌿🏡  Mas o mais importante nunca muda: fazemos tudo para levar beleza, amor e o cuidado de Deus para dentro da sua casa. Cada peça, cada detalhe, cada entrega… tudo feito com coração. 💛  Seja bem-vinda a esta nova fase com a gente. di Domenico Casa — Levando Deus em cada detalhe.";"premium";"aprovado";"true";"true";"2026-05-19T23:52:15.546344+00:00";"2026-05-20T11:51:19.834472+00:00";"";"di-domenico-casa";"dofollow";"LocalBusiness";"";"";"";"";"";"";"";""
"7976e9cd-7bd3-4314-b1db-bb3c3eddd712";"1a243d24-896a-4ec3-8398-c6a0396e09fc";"Mercado e Hortifruti Molina";"R. Pioneiro José dos Santos, 684 - Parque Itaipu";"Maringá";"PR";" (44) 99987-7387";" (44) 99987-7387";"https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/1a243d24-896a-4ec3-8398-c6a0396e09fc/1779841090581.jpg";"";"";"";"Hortifruti";"{""segunda"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""20:00"",""is24h"":false},""terca"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""20:00"",""is24h"":false},""quarta"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""20:00"",""is24h"":false},""quinta"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""20:00"",""is24h"":false},""sexta"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""20:00"",""is24h"":false},""sabado"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""20:00"",""is24h"":false},""domingo"":{""ativo"":true,""abertura"":""08:00"",""fechamento"":""13:00"",""is24h"":false}}";"✅Ainda não nos conhece? Venha nos conhecer, será um prazer atender você. MERCADO E HORTIFRUTI MOLINA, Nossa familia atende a sua.  ❌ATENDEMOS DELIVERY❌ ☎️ 99773-5880 ou 99987-7387 ✅Nosso Horário de Funcionamento é de Segunda a Sábado das 08:00H às 20:00H/ Domingo e Feriado das 08:00H às 13:00H  ✅Estamos Localizados Na Rua PIONEIRO JOSÉ DOS SANTOS 684 PQ ITAIPU.";"premium";"aprovado";"false";"false";"2026-05-27T00:18:12.330152+00:00";"2026-05-27T00:18:12.330152+00:00";"";"mercado-e-hortifruti-molina";"dofollow";"LocalBusiness";"";"";"";"";"";"";"";""
"951a3aa2-860b-4767-9578-b60ea40a7d02";"";"Eder Oliveira - Estrategista Digital";"Rua Agostinho Andery, 105 - Sala 101 - Árvore Grande , 37557-034";"Pouso Alegre";"MG";"35999483143";"35999483143";"https://cogcidjnhnjlgvmbbgab.supabase.co/storage/v1/object/public/empresas/admin/1768553235422-ox545.jpg";"";"";"https://ederoliveiradigital.com.br/";"Marketing Digital";"{""segunda"":{""ativo"":true,""abertura"":""09:00"",""fechamento"":""18:00"",""is24h"":false},""terca"":{""ativo"":true,""abertura"":""09:00"",""fechamento"":""18:00"",""is24h"":false},""quarta"":{""ativo"":true,""abertura"":""09:00"",""fechamento"":""18:00"",""is24h"":false},""quinta"":{""ativo"":true,""abertura"":""09:00"",""fechamento"":""18:00"",""is24h"":false},""sexta"":{""ativo"":true,""abertura"":""09:00"",""fechamento"":""18:00"",""is24h"":false},""sabado"":{""ativo"":true,""abertura"":""09:00"",""fechamento"":""14:00"",""is24h"":false},""domingo"":{""ativo"":false,""abertura"":""08:00"",""fechamento"":""18:00"",""is24h"":false}}";"Sou Eder Oliveira, Estrategista Digital e Especialista em Posicionamento Local, ajudando empresas de todo o Brasil a se destacarem no Google Meu Negócio.  💼 Trabalho com otimização de perfis, tráfego pago, criação de sites, links da bio, plaquinhas de avaliação, localização no WhatsApp e cartões digitais. Meu foco é gerar visibilidade, credibilidade e resultados reais para o seu negócio.  🚀 Se sua empresa ainda não aparece no topo do Google, eu te ajudo a chegar lá!";"premium";"aprovado";"true";"true";"2026-01-16T08:47:17.225781+00:00";"2026-05-20T00:16:57.918508+00:00";"";"eder-oliveira-estrategista-digital";"dofollow";"LocalBusiness";"";"";"";"";"";"";"";""
